source_id,hospital_name,description,code,code_type,setting,charge_scope,charge_type,payer_name,plan_name,amount,currency,rate_unit,rate_method,allowed_count,source_url,file_date,source_record_locator
lewisgale_montgomery_2026_09_01,LewisGale Hospital Montgomery,CHEST XRAY 2 V,71046,CPT,outpatient,unknown,gross,,,1187.00,USD,,,,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/54-0889154_LEWISGALE-HOSPITAL-MONTGOMERY_standardcharges.json?si=dpx-pt-json-access-policy&spr=https&sv=2026-02-06&sr=c&sig=ks%2BgfAjyEHlZmeP2PYJ%2f9NpMuCoRStjTb2bhIy9Y6LM%3D,2026-09-01,/standard_charge_information/205871/standard_charges/0/gross_charge (CPT 71046; CDM 80391)
lewisgale_montgomery_2026_09_01,LewisGale Hospital Montgomery,CHEST XRAY 2 V,71046,CPT,outpatient,unknown,discounted_cash,,,1187.00,USD,,,,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/54-0889154_LEWISGALE-HOSPITAL-MONTGOMERY_standardcharges.json?si=dpx-pt-json-access-policy&spr=https&sv=2026-02-06&sr=c&sig=ks%2BgfAjyEHlZmeP2PYJ%2f9NpMuCoRStjTb2bhIy9Y6LM%3D,2026-09-01,/standard_charge_information/205871/standard_charges/0/discounted_cash (CPT 71046; CDM 80391)
lewisgale_montgomery_2026_09_01,LewisGale Hospital Montgomery,CHEST XRAY 2 V,71046,CPT,outpatient,unknown,payer_negotiated,Cigna,NPR,206.54,USD,,percentage_of_gross,,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/54-0889154_LEWISGALE-HOSPITAL-MONTGOMERY_standardcharges.json?si=dpx-pt-json-access-policy&spr=https&sv=2026-02-06&sr=c&sig=ks%2BgfAjyEHlZmeP2PYJ%2f9NpMuCoRStjTb2bhIy9Y6LM%3D,2026-09-01,/standard_charge_information/205871/standard_charges/0/payers_information/2/standard_charge_dollar
lewisgale_montgomery_2026_09_01,LewisGale Hospital Montgomery,COMP METABOLIC PANEL,80053,CPT,outpatient,unknown,gross,,,860.00,USD,,,,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/54-0889154_LEWISGALE-HOSPITAL-MONTGOMERY_standardcharges.json?si=dpx-pt-json-access-policy&spr=https&sv=2026-02-06&sr=c&sig=ks%2BgfAjyEHlZmeP2PYJ%2f9NpMuCoRStjTb2bhIy9Y6LM%3D,2026-09-01,/standard_charge_information/118225/standard_charges/0/gross_charge (CPT 80053; CDM 36933)
lewisgale_montgomery_2026_09_01,LewisGale Hospital Montgomery,COMP METABOLIC PANEL,80053,CPT,outpatient,unknown,discounted_cash,,,860.00,USD,,,,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/54-0889154_LEWISGALE-HOSPITAL-MONTGOMERY_standardcharges.json?si=dpx-pt-json-access-policy&spr=https&sv=2026-02-06&sr=c&sig=ks%2BgfAjyEHlZmeP2PYJ%2f9NpMuCoRStjTb2bhIy9Y6LM%3D,2026-09-01,/standard_charge_information/118225/standard_charges/0/discounted_cash (CPT 80053; CDM 36933)
lewisgale_montgomery_2026_09_01,LewisGale Hospital Montgomery,CT ABD&PELVIS W/CONT,74177,CPT,outpatient,unknown,gross,,,7056.00,USD,,,,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/54-0889154_LEWISGALE-HOSPITAL-MONTGOMERY_standardcharges.json?si=dpx-pt-json-access-policy&spr=https&sv=2026-02-06&sr=c&sig=ks%2BgfAjyEHlZmeP2PYJ%2f9NpMuCoRStjTb2bhIy9Y6LM%3D,2026-09-01,/standard_charge_information/118524/standard_charges/0/gross_charge (CPT 74177; CDM 74867)
lewisgale_montgomery_2026_09_01,LewisGale Hospital Montgomery,CT ABD&PELVIS W/CONT,74177,CPT,outpatient,unknown,discounted_cash,,,7056.00,USD,,,,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/54-0889154_LEWISGALE-HOSPITAL-MONTGOMERY_standardcharges.json?si=dpx-pt-json-access-policy&spr=https&sv=2026-02-06&sr=c&sig=ks%2BgfAjyEHlZmeP2PYJ%2f9NpMuCoRStjTb2bhIy9Y6LM%3D,2026-09-01,/standard_charge_information/118524/standard_charges/0/discounted_cash (CPT 74177; CDM 74867)
lewisgale_montgomery_2026_09_01,LewisGale Hospital Montgomery,LVL 4 EMER DEPT,99284,CPT,outpatient,unknown,gross,,,3135.00,USD,,,,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/54-0889154_LEWISGALE-HOSPITAL-MONTGOMERY_standardcharges.json?si=dpx-pt-json-access-policy&spr=https&sv=2026-02-06&sr=c&sig=ks%2BgfAjyEHlZmeP2PYJ%2f9NpMuCoRStjTb2bhIy9Y6LM%3D,2026-09-01,/standard_charge_information/112137/standard_charges/0/gross_charge (CPT 99284; CDM 46091)
lewisgale_montgomery_2026_09_01,LewisGale Hospital Montgomery,LVL 4 EMER DEPT,99284,CPT,outpatient,unknown,discounted_cash,,,3135.00,USD,,,,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/54-0889154_LEWISGALE-HOSPITAL-MONTGOMERY_standardcharges.json?si=dpx-pt-json-access-policy&spr=https&sv=2026-02-06&sr=c&sig=ks%2BgfAjyEHlZmeP2PYJ%2f9NpMuCoRStjTb2bhIy9Y6LM%3D,2026-09-01,/standard_charge_information/112137/standard_charges/0/discounted_cash (CPT 99284; CDM 46091)
lewisgale_montgomery_2026_09_01,LewisGale Hospital Montgomery,LVL 5 EMER DEPT,99285,CPT,outpatient,unknown,gross,,,5204.00,USD,,,,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/54-0889154_LEWISGALE-HOSPITAL-MONTGOMERY_standardcharges.json?si=dpx-pt-json-access-policy&spr=https&sv=2026-02-06&sr=c&sig=ks%2BgfAjyEHlZmeP2PYJ%2f9NpMuCoRStjTb2bhIy9Y6LM%3D,2026-09-01,/standard_charge_information/202806/standard_charges/0/gross_charge (CPT 99285; CDM 46092)
lewisgale_montgomery_2026_09_01,LewisGale Hospital Montgomery,LVL 5 EMER DEPT,99285,CPT,outpatient,unknown,discounted_cash,,,5204.00,USD,,,,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/54-0889154_LEWISGALE-HOSPITAL-MONTGOMERY_standardcharges.json?si=dpx-pt-json-access-policy&spr=https&sv=2026-02-06&sr=c&sig=ks%2BgfAjyEHlZmeP2PYJ%2f9NpMuCoRStjTb2bhIy9Y6LM%3D,2026-09-01,/standard_charge_information/202806/standard_charges/0/discounted_cash (CPT 99285; CDM 46092)
